SalesID, Manufacturer, Product, Application, StorageTime, Price
1597635602,M7,P8,A2,4.18271462296277,266.57
1597635602,M6,P7,A2,14.237795125137641,210.58
258114061,M7,P8,A2,4.255729532129626,264.96
258114061,M6,P8,A2,13.705303341770204,236.93
258114061,M2,P7,A4,0.1,448.43
258114061,M1,P8,A7,0.1,612.29
2032076793,M6,P1,A6,0.1,507.93
2032076793,M5,P2,A3,9.069482771356784,359.73
2032076793,M6,P8,A2,22.094802588392398,246.27
1469785498,M8,P4,A3,0.1,346.72
1469785498,M6,P7,A8,87.49107798336357,1160.57
1469785498,M4,P3,A2,0.1,732.29
2077728192,M1,P3,A4,31.12079099304661,508.6
2077728192,M2,P3,A4,0.1,484.86
2109979899,M3,P6,A2,10.417547805088809,114.18
1742530113,M4,P6,A2,8.391302227604072,121.28
401292585,M7,P8,A2,6.3955675118433515,286.14
401292585,M1,P5,A7,0.1,665.01
856925771,M6,P8,A2,14.294260266149225,249.23
386678808,M3,P4,A3,19.328431060253838,396.1
386678808,M4,P5,A6,0.1,554.59
386678808,M3,P4,A3,13.215171491182998,350.04
956570180,M4,P1,A3,10.261019543677854,255.95
1519778297,M7,P8,A2,25.926090652919687,243.54
1519778297,M4,P5,A6,41.85645387781647,510.46
2017643598,M7,P8,A2,17.54923595333208,238.76
1516728189,M4,P3,A2,7.151373901260946,710.64
1516728189,M5,P1,A3,0.1,221.09
1742113020,M6,P7,A3,2.903638183919323,405.61
1066577386,M4,P1,A3,3.1842580854898017,228.71
14271724,M4,P2,A8,0.1,629.92
14271724,M5,P3,A5,0.1,421.99
14271724,M6,P5,A6,25.298561233085998,621.92
1981945169,M1,P4,A4,0.1,515.31
1981945169,M8,P1,A6,23.316649741462065,549.19
1981945169,M5,P7,A2,19.81694228688785,219.15
1981945169,M3,P6,A2,5.1733878855012385,120.52
1981945169,M5,P1,A3,18.419474171656617,255.95
1925208119,M3,P7,A4,0.1,527.26
1925208119,M8,P1,A6,15.844389493430503,528.01
1925208119,M6,P7,A3,0.1,373.99
1925208119,M3,P4,A3,35.97288397397946,376.55
1925208119,M1,P8,A7,33.158983015648055,653.24
1423902753,M7,P8,A2,6.350275942754189,248.25
1423902753,M5,P7,A2,0.1,242.97
1685025304,M4,P3,A3,19.060427704913884,362.85
764697605,M7,P6,A3,9.85343175036544,416.64
