SalesID, Manufacturer, Product, Application, StorageTime, Price, Cost, StorageCost
1597635602,M7,P8,A2,4.18271462296277,266.57,200.0,0.024684633155001964
1597635602,M6,P7,A2,14.237795125137641,210.58,200.0,0.02509949008401813
258114061,M7,P8,A2,4.255729532129626,264.96,200.0,0.024684633155001964
258114061,M6,P8,A2,13.705303341770204,236.93,200.0,0.025746131797615132
258114061,M2,P7,A4,0.1,448.43,400.0,0.04303378213034439
258114061,M1,P8,A7,0.1,612.29,500.0,0.055606065346661106
2032076793,M6,P1,A6,0.1,507.93,400.0,0.024875219788930415
2032076793,M5,P2,A3,9.069482771356784,359.73,300.0,0.024189180315642468
2032076793,M6,P8,A2,22.094802588392398,246.27,200.0,0.025746131797615132
1469785498,M8,P4,A3,0.1,346.72,300.0,0.02862178388220346
1469785498,M6,P7,A8,87.49107798336357,1160.57,900.0,0.09840916478842815
1469785498,M4,P3,A2,0.1,732.29,600.0,0.10500767465103732
2077728192,M1,P3,A4,31.12079099304661,508.6,400.0,0.01321152318789235
2077728192,M2,P3,A4,0.1,484.86,400.0,0.042308573575426334
2109979899,M3,P6,A2,10.417547805088809,114.18,100.0,0.01574691039476669
1742530113,M4,P6,A2,8.391302227604072,121.28,100.0,0.007059918081221228
401292585,M7,P8,A2,6.3955675118433515,286.14,200.0,0.024684633155001964
401292585,M1,P5,A7,0.1,665.01,500.0,0.08468509966657095
856925771,M6,P8,A2,14.294260266149225,249.23,200.0,0.025746131797615132
386678808,M3,P4,A3,19.328431060253838,396.1,300.0,0.04653408337935004
386678808,M4,P5,A6,0.1,554.59,400.0,0.02838920174162361
386678808,M3,P4,A3,13.215171491182998,350.04,300.0,0.04653408337935004
956570180,M4,P1,A3,10.261019543677854,255.95,200.0,0.02165693490307608
1519778297,M7,P8,A2,25.926090652919687,243.54,200.0,0.024684633155001964
1519778297,M4,P5,A6,41.85645387781647,510.46,400.0,0.02838920174162361
2017643598,M7,P8,A2,17.54923595333208,238.76,200.0,0.024684633155001964
1516728189,M4,P3,A2,7.151373901260946,710.64,600.0,0.10500767465103732
1516728189,M5,P1,A3,0.1,221.09,200.0,0.016549705692606085
1742113020,M6,P7,A3,2.903638183919323,405.61,300.0,0.007578986962323716
1066577386,M4,P1,A3,3.1842580854898017,228.71,200.0,0.02165693490307608
